"Label (Grouping)","ZCTA5 48809!!Estimate","ZCTA5 48809!!Margin of Error","ZCTA5 48809!!Percent","ZCTA5 48809!!Percent Margin of Error","ZCTA5 48838!!Estimate","ZCTA5 48838!!Margin of Error","ZCTA5 48838!!Percent","ZCTA5 48838!!Percent Margin of Error","ZCTA5 49301!!Estimate","ZCTA5 49301!!Margin of Error","ZCTA5 49301!!Percent","ZCTA5 49301!!Percent Margin of Error","ZCTA5 49302!!Estimate","ZCTA5 49302!!Margin of Error","ZCTA5 49302!!Percent","ZCTA5 49302!!Percent Margin of Error","ZCTA5 49306!!Estimate","ZCTA5 49306!!Margin of Error","ZCTA5 49306!!Percent","ZCTA5 49306!!Percent Margin of Error","ZCTA5 49315!!Estimate","ZCTA5 49315!!Margin of Error","ZCTA5 49315!!Percent","ZCTA5 49315!!Percent Margin of Error","ZCTA5 49316!!Estimate","ZCTA5 49316!!Margin of Error","ZCTA5 49316!!Percent","ZCTA5 49316!!Percent Margin of Error","ZCTA5 49319!!Estimate","ZCTA5 49319!!Margin of Error","ZCTA5 49319!!Percent","ZCTA5 49319!!Percent Margin of Error","ZCTA5 49321!!Estimate","ZCTA5 49321!!Margin of Error","ZCTA5 49321!!Percent","ZCTA5 49321!!Percent Margin of Error","ZCTA5 49325!!Estimate","ZCTA5 49325!!Margin of Error","ZCTA5 49325!!Percent","ZCTA5 49325!!Percent Margin of Error","ZCTA5 49326!!Estimate","ZCTA5 49326!!Margin of Error","ZCTA5 49326!!Percent","ZCTA5 49326!!Percent Margin of Error","ZCTA5 49330!!Estimate","ZCTA5 49330!!Margin of Error","ZCTA5 49330!!Percent","ZCTA5 49330!!Percent Margin of Error","ZCTA5 49331!!Estimate","ZCTA5 49331!!Margin of Error","ZCTA5 49331!!Percent","ZCTA5 49331!!Percent Margin of Error","ZCTA5 49341!!Estimate","ZCTA5 49341!!Margin of Error","ZCTA5 49341!!Percent","ZCTA5 49341!!Percent Margin of Error","ZCTA5 49343!!Estimate","ZCTA5 49343!!Margin of Error","ZCTA5 49343!!Percent","ZCTA5 49343!!Percent Margin of Error","ZCTA5 49345!!Estimate","ZCTA5 49345!!Margin of Error","ZCTA5 49345!!Percent","ZCTA5 49345!!Percent Margin of Error","ZCTA5 49418!!Estimate","ZCTA5 49418!!Margin of Error","ZCTA5 49418!!Percent","ZCTA5 49418!!Percent Margin of Error","ZCTA5 49503!!Estimate","ZCTA5 49503!!Margin of Error","ZCTA5 49503!!Percent","ZCTA5 49503!!Percent Margin of Error","ZCTA5 49504!!Estimate","ZCTA5 49504!!Margin of Error","ZCTA5 49504!!Percent","ZCTA5 49504!!Percent Margin of Error","ZCTA5 49505!!Estimate","ZCTA5 49505!!Margin of Error","ZCTA5 49505!!Percent","ZCTA5 49505!!Percent Margin of Error","ZCTA5 49506!!Estimate","ZCTA5 49506!!Margin of Error","ZCTA5 49506!!Percent","ZCTA5 49506!!Percent Margin of Error","ZCTA5 49507!!Estimate","ZCTA5 49507!!Margin of Error","ZCTA5 49507!!Percent","ZCTA5 49507!!Percent Margin of Error","ZCTA5 49508!!Estimate","ZCTA5 49508!!Margin of Error","ZCTA5 49508!!Percent","ZCTA5 49508!!Percent Margin of Error","ZCTA5 49509!!Estimate","ZCTA5 49509!!Margin of Error","ZCTA5 49509!!Percent","ZCTA5 49509!!Percent Margin of Error","ZCTA5 49512!!Estimate","ZCTA5 49512!!Margin of Error","ZCTA5 49512!!Percent","ZCTA5 49512!!Percent Margin of Error","ZCTA5 49519!!Estimate","ZCTA5 49519!!Margin of Error","ZCTA5 49519!!Percent","ZCTA5 49519!!Percent Margin of Error","ZCTA5 49525!!Estimate","ZCTA5 49525!!Margin of Error","ZCTA5 49525!!Percent","ZCTA5 49525!!Percent Margin of Error","ZCTA5 49534!!Estimate","ZCTA5 49534!!Margin of Error","ZCTA5 49534!!Percent","ZCTA5 49534!!Percent Margin of Error","ZCTA5 49544!!Estimate","ZCTA5 49544!!Margin of Error","ZCTA5 49544!!Percent","ZCTA5 49544!!Percent Margin of Error","ZCTA5 49546!!Estimate","ZCTA5 49546!!Margin of Error","ZCTA5 49546!!Percent","ZCTA5 49546!!Percent Margin of Error","ZCTA5 49548!!Estimate","ZCTA5 49548!!Margin of Error","ZCTA5 49548!!Percent","ZCTA5 49548!!Percent Margin of Error"
"SEX AND AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","11,112","±533","11,112","(X)","18,043","±754","18,043","(X)","20,092","±845","20,092","(X)","9,582","±1,195","9,582","(X)","10,847","±855","10,847","(X)","25,397","±1,139","25,397","(X)","25,291","±1,950","25,291","(X)","18,658","±1,397","18,658","(X)","15,740","±725","15,740","(X)","2,481","±543","2,481","(X)","3,767","±533","3,767","(X)","5,681","±354","5,681","(X)","17,522","±571","17,522","(X)","39,094","±1,343","39,094","(X)","6,062","±750","6,062","(X)","13,155","±810","13,155","(X)","30,419","±1,153","30,419","(X)","37,471","±1,775","37,471","(X)","40,686","±1,808","40,686","(X)","32,325","±1,356","32,325","(X)","33,877","±1,414","33,877","(X)","39,899","±2,201","39,899","(X)","42,515","±1,767","42,515","(X)","28,549","±1,402","28,549","(X)","19,141","±1,284","19,141","(X)","28,070","±1,446","28,070","(X)","30,509","±1,233","30,509","(X)","23,008","±904","23,008","(X)","9,977","±875","9,977","(X)","34,308","±1,476","34,308","(X)","34,615","±1,686","34,615","(X)"
"        Male","5,768","±375","51.9%","±1.8","8,952","±518","49.6%","±2.0","10,135","±669","50.4%","±2.2","5,315","±799","55.5%","±2.8","5,772","±618","53.2%","±2.6","12,924","±812","50.9%","±1.9","12,327","±987","48.7%","±1.9","9,186","±887","49.2%","±2.3","7,854","±474","49.9%","±2.3","1,218","±268","49.1%","±3.1","1,866","±309","49.5%","±3.3","3,100","±296","54.6%","±3.6","8,870","±480","50.6%","±2.0","19,663","±852","50.3%","±1.3","3,134","±491","51.7%","±3.3","6,830","±489","51.9%","±2.1","14,755","±773","48.5%","±2.2","19,198","±1,039","51.2%","±1.8","20,127","±1,144","49.5%","±1.9","16,205","±863","50.1%","±1.9","16,820","±851","49.7%","±1.5","18,897","±1,207","47.4%","±1.5","19,557","±927","46.0%","±1.5","15,019","±931","52.6%","±2.0","9,873","±875","51.6%","±2.7","13,738","±843","48.9%","±2.0","15,135","±978","49.6%","±1.9","11,128","±615","48.4%","±1.7","5,264","±524","52.8%","±3.4","16,392","±838","47.8%","±1.4","17,707","±1,087","51.2%","±1.9"
"        Female","5,344","±294","48.1%","±1.8","9,091","±533","50.4%","±2.0","9,957","±534","49.6%","±2.2","4,267","±503","44.5%","±2.8","5,075","±391","46.8%","±2.6","12,473","±692","49.1%","±1.9","12,964","±1,183","51.3%","±1.9","9,472","±748","50.8%","±2.3","7,886","±554","50.1%","±2.3","1,263","±296","50.9%","±3.1","1,901","±277","50.5%","±3.3","2,581","±249","45.4%","±3.6","8,652","±427","49.4%","±2.0","19,431","±844","49.7%","±1.3","2,928","±352","48.3%","±3.3","6,325","±489","48.1%","±2.1","15,664","±986","51.5%","±2.2","18,273","±1,175","48.8%","±1.8","20,559","±1,212","50.5%","±1.9","16,120","±947","49.9%","±1.9","17,057","±877","50.3%","±1.5","21,002","±1,284","52.6%","±1.5","22,958","±1,233","54.0%","±1.5","13,530","±880","47.4%","±2.0","9,268","±777","48.4%","±2.7","14,332","±997","51.1%","±2.0","15,374","±679","50.4%","±1.9","11,880","±593","51.6%","±1.7","4,713","±576","47.2%","±3.4","17,916","±934","52.2%","±1.4","16,908","±1,060","48.8%","±1.9"
"        Sex ratio (males per 100 females)","107.9","±8.0","(X)","(X)","98.5","±8.0","(X)","(X)","101.8","±8.8","(X)","(X)","124.6","±14.1","(X)","(X)","113.7","±11.7","(X)","(X)","103.6","±8.0","(X)","(X)","95.1","±7.3","(X)","(X)","97.0","±9.0","(X)","(X)","99.6","±9.3","(X)","(X)","96.4","±12.1","(X)","(X)","98.2","±13.0","(X)","(X)","120.1","±17.5","(X)","(X)","102.5","±8.2","(X)","(X)","101.2","±5.3","(X)","(X)","107.0","±14.2","(X)","(X)","108.0","±9.0","(X)","(X)","94.2","±8.4","(X)","(X)","105.1","±7.4","(X)","(X)","97.9","±7.3","(X)","(X)","100.5","±7.5","(X)","(X)","98.6","±5.8","(X)","(X)","90.0","±5.3","(X)","(X)","85.2","±5.0","(X)","(X)","111.0","±8.9","(X)","(X)","106.5","±11.5","(X)","(X)","95.9","±7.8","(X)","(X)","98.4","±7.4","(X)","(X)","93.7","±6.5","(X)","(X)","111.7","±15.5","(X)","(X)","91.5","±5.2","(X)","(X)","104.7","±8.0","(X)","(X)"
"        Under 5 years","506","±132","4.6%","±1.2","1,194","±242","6.6%","±1.3","1,283","±241","6.4%","±1.2","734","±307","7.7%","±2.6","522","±245","4.8%","±2.2","1,500","±326","5.9%","±1.2","1,440","±361","5.7%","±1.4","692","±246","3.7%","±1.3","817","±218","5.2%","±1.3","196","±93","7.9%","±2.9","263","±143","7.0%","±3.4","462","±171","8.1%","±3.1","1,161","±319","6.6%","±1.8","2,940","±567","7.5%","±1.4","300","±117","4.9%","±1.9","828","±236","6.3%","±1.8","1,831","±414","6.0%","±1.3","2,288","±384","6.1%","±1.0","2,298","±428","5.6%","±1.0","2,394","±436","7.4%","±1.3","2,228","±308","6.6%","±0.9","3,442","±473","8.6%","±1.1","3,309","±605","7.8%","±1.3","1,908","±418","6.7%","±1.4","1,148","±265","6.0%","±1.3","1,576","±281","5.6%","±1.0","1,545","±320","5.1%","±1.0","1,264","±238","5.5%","±1.0","582","±308","5.8%","±2.9","1,832","±404","5.3%","±1.1","2,116","±388","6.1%","±1.0"
"        5 to 9 years","578","±125","5.2%","±1.1","924","±187","5.1%","±1.0","1,352","±298","6.7%","±1.4","1,108","±534","11.6%","±4.5","874","±213","8.1%","±2.1","1,516","±353","6.0%","±1.3","1,465","±259","5.8%","±1.1","1,309","±439","7.0%","±2.2","881","±260","5.6%","±1.6","379","±249","15.3%","±7.5","191","±91","5.1%","±2.2","460","±181","8.1%","±3.0","1,166","±366","6.7%","±2.1","3,143","±569","8.0%","±1.4","206","±82","3.4%","±1.3","1,007","±291","7.7%","±2.1","1,597","±316","5.3%","±1.1","1,478","±335","3.9%","±0.8","2,118","±520","5.2%","±1.2","1,768","±343","5.5%","±1.0","2,094","±288","6.2%","±0.8","3,429","±479","8.6%","±1.0","3,964","±785","9.3%","±1.7","1,822","±347","6.4%","±1.1","1,012","±232","5.3%","±1.2","1,455","±327","5.2%","±1.1","1,957","±331","6.4%","±1.1","1,381","±273","6.0%","±1.2","521","±164","5.2%","±1.6","2,528","±459","7.4%","±1.3","2,785","±526","8.0%","±1.4"
"        10 to 14 years","645","±157","5.8%","±1.4","1,233","±250","6.8%","±1.3","1,642","±536","8.2%","±2.5","744","±150","7.8%","±1.9","737","±237","6.8%","±2.1","2,407","±392","9.5%","±1.5","2,451","±634","9.7%","±2.2","1,264","±248","6.8%","±1.4","969","±247","6.2%","±1.6","236","±92","9.5%","±2.3","305","±180","8.1%","±4.2","366","±134","6.4%","±2.3","1,032","±238","5.9%","±1.3","2,736","±443","7.0%","±1.1","517","±178","8.5%","±2.5","798","±192","6.1%","±1.4","1,846","±344","6.1%","±1.1","1,485","±311","4.0%","±0.8","2,103","±370","5.2%","±0.9","1,772","±406","5.5%","±1.2","2,135","±350","6.3%","±1.0","2,925","±504","7.3%","±1.1","2,512","±465","5.9%","±1.1","2,248","±491","7.9%","±1.6","1,192","±322","6.2%","±1.6","1,669","±385","5.9%","±1.3","2,030","±324","6.7%","±1.1","1,270","±236","5.5%","±1.0","537","±185","5.4%","±1.7","2,418","±694","7.0%","±1.9","2,796","±403","8.1%","±1.0"
"        15 to 19 years","636","±135","5.7%","±1.2","837","±234","4.6%","±1.3","1,799","±321","9.0%","±1.5","655","±212","6.8%","±2.3","580","±274","5.3%","±2.4","2,117","±533","8.3%","±2.1","1,990","±429","7.9%","±1.5","1,289","±310","6.9%","±1.7","1,150","±339","7.3%","±2.0","105","±46","4.2%","±2.3","193","±104","5.1%","±2.6","320","±122","5.6%","±2.2","1,180","±251","6.7%","±1.4","2,548","±378","6.5%","±1.0","380","±158","6.3%","±2.2","933","±263","7.1%","±1.9","1,583","±347","5.2%","±1.1","1,789","±400","4.8%","±1.0","2,650","±476","6.5%","±1.1","1,525","±273","4.7%","±0.8","2,507","±438","7.4%","±1.2","3,377","±518","8.5%","±1.1","2,598","±499","6.1%","±1.1","2,104","±359","7.4%","±1.2","1,049","±230","5.5%","±1.2","2,135","±520","7.6%","±1.7","2,206","±402","7.2%","±1.3","1,304","±298","5.7%","±1.3","566","±202","5.7%","±1.9","2,702","±341","7.9%","±1.0","2,615","±384","7.6%","±1.0"
"        20 to 24 years","683","±182","6.1%","±1.6","1,205","±242","6.7%","±1.3","418","±139","2.1%","±0.7","467","±168","4.9%","±1.7","224","±95","2.1%","±0.9","921","±298","3.6%","±1.1","1,311","±329","5.2%","±1.3","1,365","±632","7.3%","±3.2","1,024","±280","6.5%","±1.8","139","±72","5.6%","±3.2","248","±109","6.6%","±2.9","267","±100","4.7%","±1.7","942","±249","5.4%","±1.4","1,356","±347","3.5%","±0.9","305","±89","5.0%","±1.4","728","±220","5.5%","±1.7","2,528","±511","8.3%","±1.6","4,941","±789","13.2%","±1.9","4,906","±865","12.1%","±2.1","2,313","±397","7.2%","±1.2","2,847","±512","8.4%","±1.3","2,984","±458","7.5%","±1.0","2,433","±632","5.7%","±1.5","2,129","±402","7.5%","±1.3","1,747","±393","9.1%","±1.9","2,472","±560","8.8%","±1.9","2,041","±618","6.7%","±1.9","1,372","±216","6.0%","±0.9","682","±219","6.8%","±2.1","2,516","±499","7.3%","±1.4","2,094","±352","6.0%","±1.0"
