Census Tract,Zip Code,County
28,49507,Kent County
29,49507,Kent County
30,49507,Kent County
31,49507,Kent County
32,49507,Kent County
35,49507,Kent County
36,49507,Kent County
37,49507,Kent County
38,49507,Kent County
40,49507,Kent County
41,49507,Kent County
42,49507,Kent County
45.01,49508,Kent County
45.02,49508,Kent County
127.02,49508,Kent County
127.03,49508,Kent County
127.05,49508,Kent County
128,49508,Kent County
148.09,49508,Kent County
114.01,49544,Kent County
114.03,49544,Kent County
115.01,49544,Kent County
115.02,49544,Kent County
129.01,49548,Kent County
129.02,49548,Kent County
136,49548,Kent County
142,49548,Kent County
147.03,49548,Kent County
147.04,49548,Kent County
